United Kingdom, Exposure to risk (period 5x10), 	Last modified: 27 May 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009    110+                 54.08            2.62           56.70
2010-2019        0           3785072.77      3984072.18      7769144.95
2010-2019      1-4          15515456.63     16295899.50     31811356.12
2010-2019      5-9          18870075.14     19791202.46     38661277.60
2010-2019     10-14         17912400.06     18809519.57     36721919.63
2010-2019     15-19         18638040.38     19623751.80     38261792.19
2010-2019     20-24         20884902.83     21648058.56     42532961.39
2010-2019     25-29         21996363.77     22178958.80     44175322.57
2010-2019     30-34         21711359.06     21551809.32     43263168.38
2010-2019     35-39         21007266.72     20742965.79     41750232.52
2010-2019     40-44         21851718.79     21418864.57     43270583.36
2010-2019     45-49         23299698.48     22688903.18     45988601.66
2010-2019     50-54         22452074.81     21894662.46     44346737.27
2010-2019     55-59         19974484.18     19452217.90     39426702.08
2010-2019     60-64         18528632.03     17807361.50     36335993.54
2010-2019     65-69         17459176.90     16449347.09     33908523.99
2010-2019     70-74         14610454.17     13244668.24     27855122.42
2010-2019     75-79         11609531.16      9772863.76     21382394.93
2010-2019     80-84          9126342.96      6767932.95     15894275.92
2010-2019     85-89          6076727.13      3654215.88      9730943.00
2010-2019     90-94          2897426.65      1282701.55      4180128.19
2010-2019     95-99           781330.89       229453.25      1010784.13
2010-2019    100-104          101503.18        17977.69       119480.87
2010-2019    105-109            5545.61          642.52         6188.13
2010-2019    110+                100.19            5.95          106.13
